t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
6327,0.132,-0.6196,0.6716,-6.08,8.43,-0.37,21.85
6337,0.1288,-0.6202,0.6764,-6.18,8.24,-0.41,21.84
6347,0.1344,-0.6195,0.6794,-6.26,8.2,-0.61,21.86
6357,0.1366,-0.6179,0.6792,-6.7,8.32,-0.6,21.87
6367,0.1429,-0.6227,0.6791,-6.66,8.9,-0.49,21.86
6377,0.1392,-0.6193,0.6757,-6.63,9.08,-0.37,21.82
6387,0.1357,-0.6234,0.6777,-6.73,9.05,-0.4,21.85
6397,0.1375,-0.6206,0.6779,-7.04,8.89,-0.38,21.87
6407,0.1376,-0.6239,0.6797,-6.99,8.52,-0.32,21.85
6417,0.1351,-0.6221,0.6826,-6.73,8.2,-0.08,21.87
6427,0.1329,-0.6183,0.6824,-6.29,8.21,0.11,21.85
6437,0.1306,-0.6191,0.672,-6.2,8.02,0.05,21.86
6447,0.1317,-0.6158,0.672,-6.35,7.6,0.35,21.86
6457,0.1377,-0.6228,0.6736,-6.4,7.74,-0.12,21.84
6467,0.1385,-0.6263,0.6821,-6.47,8.29,-0.03,21.83
6477,0.1436,-0.6271,0.674,-6.55,8.9,-0.11,21.85
6487,0.1361,-0.6261,0.6777,-6.66,9.15,0.03,21.84
6497,0.1317,-0.6233,0.6815,-6.99,9.21,-0.08,21.84
6507,0.1295,-0.6243,0.6799,-7.13,9.07,-0.12,21.83
6517,0.1261,-0.6217,0.6782,-6.9,8.61,-0.18,21.86
6527,0.127,-0.6251,0.6766,-6.58,8.06,-0.24,21.84
6537,0.1292,-0.6215,0.6815,-6.37,8.0,-0.56,21.84
6547,0.1289,-0.6249,0.6799,-6.2,8.08,-0.73,21.85
6557,0.1328,-0.6235,0.6824,-6.44,8.35,-0.85,21.84
6567,0.1305,-0.6254,0.6814,-6.73,8.87,-0.78,21.87
6577,0.1349,-0.6254,0.6759,-6.9,9.02,-0.87,21.84
6587,0.1254,-0.6177,0.6797,-6.82,9.65,-0.95,21.85
6597,0.1296,-0.6173,0.6742,-6.85,9.57,-1.07,21.85
6607,0.1345,-0.6163,0.6732,-6.92,9.59,-1.01,21.86
6617,0.139,-0.6219,0.6713,-6.79,9.57,-0.95,21.87
6627,0.1387,-0.619,0.6692,-6.38,9.45,-0.95,21.85
6637,0.1292,-0.6213,0.6654,-6.27,9.42,-0.87,21.85
6647,0.1311,-0.6238,0.6735,-6.35,9.4,-0.99,21.85
6657,0.1357,-0.6301,0.6733,-6.56,9.45,-1.05,21.85
6667,0.1357,-0.6235,0.6718,-6.6,9.31,-0.89,21.84
6677,0.1337,-0.6238,0.6735,-6.78,8.78,-0.92,21.84
6687,0.1345,-0.6353,0.674,-7.1,8.73,-0.89,21.84
6697,0.1373,-0.625,0.6842,-6.89,8.95,-0.66,21.85
