t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
5554,0.2144,-0.0524,0.895,-6.12,7.86,-0.05,24.42
5564,0.2445,-0.0485,0.8707,-6.14,7.92,-0.02,24.42
5574,0.2499,-0.0443,0.8696,-6.24,6.14,-0.05,24.44
5584,0.2146,-0.043,0.9052,-6.31,8.46,0.02,24.41
5594,0.2529,-0.0454,0.8821,-6.29,9.69,0.03,24.41
5604,0.2709,-0.0529,0.8583,-6.17,4.85,-0.02,24.4
5615,0.2448,-0.0544,0.8817,-6.17,5.66,-0.09,24.44
5625,0.2036,-0.0548,0.9071,-6.26,8.69,0.05,24.44
5635,0.2399,-0.0504,0.8722,-6.21,9.73,0.05,24.44
5645,0.2604,-0.0476,0.8596,-6.2,5.98,-0.11,24.42
5655,0.2367,-0.047,0.8843,-6.17,6.03,-0.05,24.42
5665,0.2013,-0.0471,0.9175,-6.27,9.5,-0.08,24.42
5675,0.2424,-0.0483,0.8706,-6.35,9.27,-0.03,24.42
5685,0.2474,-0.0548,0.8635,-6.14,6.23,-0.15,24.44
5695,0.2052,-0.0566,0.9001,-6.14,8.76,-0.06,24.42
5705,0.2461,-0.0518,0.8704,-6.12,9.07,-0.03,24.42
5715,0.2571,-0.0487,0.8616,-6.17,4.72,0.03,24.42
5725,0.1959,-0.0402,0.9294,-6.29,9.28,0.09,24.44
5735,0.2606,-0.042,0.8781,-6.17,9.68,-0.06,24.43
5745,0.2566,-0.0454,0.8673,-6.26,5.18,-0.11,24.41
5755,0.2063,-0.0519,0.9065,-6.18,8.85,-0.02,24.44
5765,0.2468,-0.0518,0.8585,-6.12,8.64,-0.09,24.43
5775,0.2555,-0.0494,0.8596,-5.98,4.69,-0.12,24.44
5785,0.2083,-0.0461,0.9165,-6.23,7.89,-0.18,24.44
5795,0.2412,-0.0399,0.8901,-6.2,9.74,-0.08,24.43
5805,0.274,-0.0487,0.8568,-6.14,4.96,-0.05,24.42
5815,0.219,-0.0554,0.8885,-6.06,7.13,-0.14,24.4
5825,0.2334,-0.0557,0.87,-6.06,7.79,-0.06,24.45
5835,0.2386,-0.0548,0.8689,-6.11,6.17,0.0,24.44
5845,0.222,-0.0504,0.9033,-6.18,7.37,-0.09,24.42
5855,0.2354,-0.0409,0.9011,-6.27,7.31,-0.12,24.44
5865,0.2339,-0.0552,0.8807,-6.14,6.7,0.03,24.44
5875,0.1979,-0.05,0.9136,-6.12,8.82,-0.05,24.43
5885,0.2284,-0.0476,0.8846,-6.06,9.92,0.03,24.44
5895,0.2545,-0.046,0.8635,-6.02,6.09,-0.09,24.44
5905,0.2057,-0.0419,0.9088,-6.18,7.68,0.0,24.43
5915,0.2239,-0.0419,0.8949,-6.2,10.21,-0.03,24.44
5925,0.2539,-0.0564,0.8531,-6.12,5.94,-0.05,24.44
5935,0.1904,-0.0575,0.9265,-6.2,8.99,-0.11,24.44
5945,0.2269,-0.0481,0.8944,-6.14,10.24,-0.06,24.45
5955,0.2441,-0.0476,0.8711,-6.18,7.24,-0.08,24.44
5965,0.214,-0.0511,0.8926,-6.14,7.91,-0.06,24.42
