t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
6393,0.3267,-0.0228,0.8633,-6.67,7.92,-0.09,29.43
6403,0.3264,-0.0269,0.8649,-6.72,7.95,-0.03,29.42
6413,0.3289,-0.0238,0.8636,-6.7,7.95,-0.03,29.43
6423,0.3292,-0.0272,0.8619,-6.7,7.94,-0.05,29.43
6433,0.3263,-0.0264,0.8636,-6.69,7.97,-0.02,29.42
6446,0.3317,-0.0248,0.8643,-6.85,7.94,-0.14,29.44
6456,0.3312,-0.0249,0.865,-6.66,7.82,0.03,29.43
6466,0.3269,-0.0264,0.864,-6.7,7.97,-0.08,29.42
6476,0.3276,-0.0258,0.8669,-6.67,7.98,-0.06,29.44
6486,0.3295,-0.0245,0.8674,-6.73,7.95,-0.08,29.44
6496,0.3293,-0.0258,0.8628,-6.72,7.92,-0.06,29.43
6506,0.3292,-0.0256,0.8639,-6.64,7.88,-0.11,29.44
6516,0.328,-0.0262,0.8639,-6.66,7.98,0.02,29.43
6526,0.3293,-0.0265,0.863,-6.64,7.97,0.03,29.44
6536,0.3276,-0.025,0.8629,-6.7,7.88,-0.09,29.44
6546,0.3252,-0.0256,0.8657,-6.78,7.98,-0.05,29.45
6556,0.3276,-0.0253,0.8652,-6.69,8.0,-0.12,29.43
6566,0.3275,-0.0262,0.8656,-6.7,7.94,0.05,29.44
6576,0.3286,-0.0265,0.8665,-6.73,8.0,-0.02,29.44
6586,0.3276,-0.0271,0.8622,-6.66,7.95,-0.05,29.44
6596,0.3287,-0.025,0.8665,-6.7,7.97,0.06,29.46
6606,0.3271,-0.0273,0.8657,-6.75,7.98,-0.02,29.44
6616,0.327,-0.0281,0.8645,-6.73,8.02,-0.02,29.43
6626,0.3273,-0.025,0.8617,-6.7,7.97,0.02,29.44
6636,0.3281,-0.0272,0.8641,-6.75,7.97,-0.06,29.44
6646,0.3291,-0.0269,0.8624,-6.69,7.98,-0.08,29.44
6656,0.3265,-0.0243,0.8657,-6.63,7.94,-0.03,29.45
6666,0.3276,-0.0261,0.8621,-6.66,7.97,-0.08,29.47
6676,0.3263,-0.0271,0.8635,-6.7,7.97,0.0,29.44
6686,0.3279,-0.0256,0.8628,-6.69,7.94,0.0,29.45
6696,0.3284,-0.0282,0.8669,-6.73,7.86,-0.05,29.45
6706,0.3268,-0.0277,0.8621,-6.76,8.0,-0.05,29.47
6716,0.3304,-0.0262,0.8651,-6.69,8.02,-0.09,29.45
6726,0.3282,-0.0267,0.8635,-6.61,7.91,-0.03,29.45
6736,0.3291,-0.0259,0.864,-6.69,7.91,-0.11,29.46
6746,0.3268,-0.0258,0.866,-6.78,7.97,-0.09,29.43
6756,0.3308,-0.0221,0.8668,-6.69,8.0,0.02,29.45
6766,0.3275,-0.0242,0.8666,-6.66,8.03,-0.03,29.46
6776,0.3298,-0.0245,0.8636,-6.75,7.92,-0.03,29.48
6786,0.3301,-0.0245,0.8657,-6.72,8.0,-0.02,29.44
6796,0.3268,-0.0254,0.8641,-6.7,7.95,-0.05,29.44
6806,0.3264,-0.0262,0.8695,-6.67,7.95,-0.05,29.46
6816,0.3297,-0.0284,0.8638,-6.7,8.0,-0.02,29.46
6826,0.3241,-0.0259,0.8613,-6.7,8.06,-0.15,29.45
6836,0.3243,-0.0244,0.8629,-6.73,7.94,-0.03,29.44
6846,0.3286,-0.0249,0.8639,-6.72,7.95,-0.02,29.43
6856,0.3296,-0.0255,0.8647,-6.67,7.95,-0.08,29.46
6866,0.3274,-0.0234,0.8638,-6.67,7.94,-0.03,29.47
